Type,ambient_cabinet_temp_k,processing_unit_temp_k,cooling_fan_speed_rpm,mechanical_load_nm,component_wear_min,equipment_failure,component_wear_failure,thermal_dissipation_failure,power_delivery_failure,overload_stress_failure,random_node_failure,failure_type,temp_delta_k,cabinet_temp_c,processing_temp_c,estimated_power_load,wear_load_interaction,thermal_stress_index,cooling_efficiency_index,speed_torque_ratio
M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,none,10.5,25.450000000000045,35.950000000000045,7.164701570680629,1737.4,536.5500000000001,4.331931399767288,26.203521992103287
M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,none,10.599999999999966,25.450000000000045,36.05000000000001,5.472251308900524,1110.0,317.999999999999,5.633893901572142,58.066664731111175
L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,none,10.599999999999966,25.450000000000045,36.05000000000001,4.176544502617801,784.0,207.75999999999934,6.581500625544953,103.82652531497318
L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,none,10.599999999999966,25.450000000000045,36.05000000000001,7.814952879581152,2032.8,513.0399999999984,4.987063373263055,31.859503473977203
M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,none,10.599999999999966,25.450000000000045,36.05000000000001,6.397130890052356,2050.4,493.95999999999844,4.239974113066061,28.133046606586984
M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,none,10.5,25.55000000000001,36.05000000000001,6.732565445026178,2143.2000000000003,478.8,4.560155224579058,30.921051953485705
H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,none,10.399999999999977,25.650000000000034,36.05000000000001,7.4530890052356025,2725.0,566.7999999999988,4.223803349858334,23.963302312599957
M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,none,10.400000000000034,25.75,36.150000000000034,5.55392670157068,1787.5,338.00000000000114,5.276430632795245,50.21538307029591
H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,none,10.400000000000034,25.75,36.150000000000034,6.147905759162304,2476.6000000000004,444.08000000000146,4.445522132410209,32.20140439809357
L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,none,10.5,25.650000000000034,36.150000000000034,6.802094240837696,2822.3999999999996,470.4,4.688005157814403,32.3660707061145
M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,none,10.400000000000034,25.75,36.150000000000034,5.082376963350785,1995.5,319.28000000000105,5.111542175520394,51.49836965803356
L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,none,10.399999999999977,25.850000000000023,36.25,4.730952879581151,1747.6,267.2799999999994,5.681965075365336,68.40466659904021
M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,none,10.399999999999977,25.850000000000023,36.25,6.09689005235602,2611.0,387.9199999999991,5.045248852471723,41.849864829762346
L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,none,10.5,25.850000000000023,36.35000000000002,4.540450261780105,1700.9,244.65,6.012924051654527,79.87124120724286
L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,none,10.399999999999977,25.950000000000045,36.35000000000002,6.174659685863874,2925.0,405.5999999999991,4.885298853359293,38.769229775147956
H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,none,10.299999999999955,25.950000000000045,36.25,4.664984293193718,1894.2,253.3799999999989,5.853264363758035,73.6178831862649
L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,none,10.299999999999955,25.950000000000045,36.25,6.660083769633508,3624.4,455.259999999998,4.650937282964004,32.556560349399085
L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,none,10.399999999999977,25.850000000000023,36.25,5.336052356020943,2528.4,313.03999999999934,5.471881042430896,56.245845307447
M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,none,10.399999999999977,25.950000000000045,36.35000000000002,6.758094240837696,4145.2,501.27999999999895,4.326332780851914,27.780082411201608
L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,none,10.399999999999977,25.850000000000023,36.25,4.800942408376963,2269.5,265.1999999999994,5.811247557171146,70.50980115647839
L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,none,10.399999999999977,25.850000000000023,36.25,7.176722513089005,4395.3,502.31999999999886,4.586296042061099,29.37888137931923
L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,none,10.400000000000034,25.75,36.150000000000034,5.6662303664921465,3022.5,338.00000000000114,5.3831231639730905,51.23076765443792
M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,5.664638743455498,3296.5000000000005,357.4100000000004,5.043675169706647,44.92795259573624
M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,none,10.399999999999977,25.650000000000034,36.05000000000001,7.3892356020942405,4762.8,505.4399999999989,4.695989635523967,29.876542595132868
M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,none,10.300000000000011,25.75,36.05000000000001,6.075675392670157,3706.7000000000003,378.01000000000045,5.113195326283327,43.07901789975428
L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,5.906680628272252,4076.8,403.7600000000005,4.655451295194269,36.70918273701064
H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,none,10.300000000000011,25.75,36.05000000000001,7.320973821989529,5374.200000000001,522.2100000000006,4.45989649269115,27.199210508891312
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,7.4214659685863875,5827.5,540.7500000000006,4.3675185882642555,25.714285224489807
L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,6.474848167539267,5130.2,467.6200000000005,4.406340975715493,29.999999339207065
L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,7.276900523560209,5842.0,523.2400000000006,4.425752169441112,26.92913332816667
M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,7.0333821989528795,5744.7,505.7300000000006,4.425752169441112,27.861506560865447
H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,none,10.399999999999977,25.650000000000034,36.05000000000001,6.967748691099477,5820.0,504.3999999999989,4.4372574242003315,28.28865921054311
M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,7.321465968586388,5937.5,489.25000000000057,4.762212860685173,30.989473031800568
L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,7.655486910994766,6284.8,505.7300000000006,4.81721124290776,30.32586496281334
M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,none,10.300000000000011,25.55000000000001,35.85000000000002,4.978994764397906,3354.0,265.7400000000003,5.964401275196113,71.43410575836799
L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,6.874701570680628,6157.9,476.8900000000005,4.587512117154603,30.62634923053242
H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,none,10.399999999999977,25.650000000000034,36.05000000000001,8.042670157068063,7276.5,560.5599999999988,4.6086675142022395,26.4378473759212
M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,none,10.300000000000011,25.75,36.05000000000001,6.520335078534032,6174.0,454.23000000000053,4.56662352986215,32.018139863534245
L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,power_delivery_failure,10.200000000000045,25.75,35.950000000000045,1.3780732984293191,657.8,46.92000000000021,9.255904208165951,621.9563865312203
L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,none,10.200000000000045,25.75,35.950000000000045,7.950439790575916,7960.5,559.9800000000025,4.474280153755159,25.191256371743965
H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,none,10.199999999999989,25.650000000000034,35.85000000000002,6.865821989528795,6438.599999999999,446.7599999999995,4.8446601784962455,34.17808141145933
L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,none,10.300000000000011,25.55000000000001,35.85000000000002,5.751989528795812,5335.2,361.5300000000004,5.064724902703156,44.58689331661273
L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,none,10.300000000000011,25.55000000000001,35.85000000000002,5.329748691099477,4635.400000000001,310.03000000000037,5.472491891674784,56.179400126930226
L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,6.443811518324607,6349.200000000001,419.2100000000005,4.891620818855966,37.149876237103776
L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,6.557570680628272,6699.2,436.7200000000005,4.778388855456522,34.83490483879942
L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,6.384701570680628,6448.0,415.09000000000043,4.894856017810236,37.54342338601928
M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,none,10.199999999999989,25.650000000000034,35.85000000000002,5.130837696335078,4779.0,300.89999999999964,5.375404513348205,56.30508283711583
L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,7.849549738219895,8976.0,560.3200000000006,4.458104158983811,25.330881887299967
L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,none,10.300000000000011,25.650000000000034,35.950000000000045,7.6724397905759165,8784.2,541.7800000000007,4.506632143297858,26.482889230363323
M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,none,10.199999999999989,25.650000000000034,35.85000000000002,6.368,6455.8,389.6399999999996,5.152103543197076,41.67539157917823
L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,none,10.199999999999989,25.650000000000034,35.85000000000002,4.385769633507853,3938.7999999999997,233.57999999999973,5.919093831977043,79.86899214545886
M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,none,10.100000000000023,25.75,35.85000000000002,4.914219895287958,4506.599999999999,261.5900000000006,5.864077650925315,69.9613872601781
L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,none,10.100000000000023,25.850000000000023,35.950000000000045,6.155790575916231,6832.2,389.86000000000087,4.927208007352934,39.45595752704774
L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,none,10.100000000000023,25.850000000000023,35.950000000000045,6.583183246073299,8072.900000000001,455.510000000001,4.509867342252127,30.909090223745228
M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,none,10.0,25.75,35.75,5.04579057591623,5194.7,287.0,5.435415974634458,58.501740121890585
H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,none,10.099999999999966,25.650000000000034,35.75,6.7696963350785335,8114.400000000001,445.4099999999985,4.74587243526749,33.242629631686405
L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,none,10.099999999999966,25.650000000000034,35.75,5.180607329842932,6123.599999999999,327.2399999999989,4.943347345602631,47.12962817501148
L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,power_delivery_failure,10.100000000000023,25.75,35.85000000000002,9.70020942408377,12548.7,663.5700000000015,4.563106781349169,21.46118688795758
M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,none,10.100000000000023,25.75,35.85000000000002,4.553130890052357,4361.8,228.26000000000053,6.2265371966778735,85.13273959589647
L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,none,10.200000000000045,25.75,35.950000000000045,6.917905759162304,8918.0,464.10000000000207,4.697508881599777,31.91208721072336
L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,none,10.200000000000045,25.75,35.950000000000045,6.364774869109947,8791.199999999999,452.880000000002,4.428987368395382,30.83333263888891
L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,none,10.100000000000023,25.850000000000023,35.950000000000045,5.83455497382199,7000.0,353.5000000000008,5.150436735197552,45.485712986122486
L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,none,10.100000000000023,25.75,35.85000000000002,5.414900523560209,6524.599999999999,326.2300000000007,5.18122975669505,49.56656193292379
L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,none,10.099999999999966,25.650000000000034,35.75,6.7433821989528795,9526.800000000001,471.6699999999984,4.46422789101901,29.528907290601556
L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,none,10.099999999999966,25.650000000000034,35.75,7.327947643979057,9867.4,483.7899999999984,4.7296859672072324,30.501043204571126
L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,component_wear_failure,10.099999999999966,25.650000000000034,35.75,6.292303664921465,8590.4,417.1299999999986,4.7102622055349235,35.230023360047866
L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,none,10.099999999999966,25.650000000000034,35.75,7.538952879581152,0.0,520.1499999999983,4.525736469647988,27.145630540861543
L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,none,10.099999999999966,25.650000000000034,35.75,5.563958115183246,75.8,382.7899999999987,4.538685644096194,36.992083456673264
H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,none,10.0,25.650000000000034,35.650000000000034,7.550314136125654,199.6,499.0,4.679404129924209,28.957915251344385
L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,none,10.0,25.75,35.75,7.212041884816754,427.5,475.0,4.694075737474666,30.52631514681442
L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,none,10.0,25.75,35.75,6.20758115183246,448.79999999999995,408.0,4.7037876183108205,35.61274422517784
L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,none,10.0,25.850000000000023,35.85000000000002,6.168261780104713,521.3000000000001,401.0,4.754045292058106,36.63341554530136
L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,none,10.0,25.75,35.75,7.087664921465969,714.0,476.0,4.603431516337224,29.873948952227963
M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,none,10.0,25.850000000000023,35.85000000000002,5.062534031413613,455.6,268.0,5.838187683371561,67.31343032412573
H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,none,10.0,25.850000000000023,35.85000000000002,6.601089005235602,878.0,439.0,4.64724917589887,32.710705405223116
L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,none,10.0,25.850000000000023,35.85000000000002,5.141277486910996,795.0,318.0,4.996763737874551,48.55345759265856
M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,none,10.0,25.850000000000023,35.85000000000002,6.7161047120418855,1220.4,452.0,4.5922329948471425,31.393804615181313
M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,none,10.0,25.75,35.75,6.150418848167539,1185.0,395.0,4.813855601120571,37.6455686672008
L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,none,10.0,25.75,35.75,4.735853403141362,851.4,258.0,5.674975701926269,67.94573380055294
L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,none,10.0,25.75,35.75,4.771413612565445,871.5,249.0,5.924247310054234,73.49397295204928
M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,none,10.0,25.75,35.75,4.900701570680629,1002.7,271.0,5.59080606801293,63.726934917825275
L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,none,9.899999999999977,25.950000000000045,35.85000000000002,6.528795811518324,1720.0,425.699999999999,4.69255661911794,33.72092944835048
L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,none,9.899999999999977,25.850000000000023,35.75,5.417989528795811,1339.8,315.80999999999926,5.250890238747523,50.84639339039519
M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,none,10.0,25.850000000000023,35.85000000000002,7.3845235602094235,2296.8,522.0,4.372168270640232,25.881225557830927
M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,none,10.0,25.850000000000023,35.85000000000002,5.8217277486910985,1659.1,353.0,5.0970873621453485,44.61756247542316
M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,none,10.0,25.75,35.75,5.479057591623037,1495.0,299.0,5.6652638210901145,58.52842613617304
L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,none,9.900000000000034,25.75,35.650000000000034,5.235424083769634,1733.1000000000001,323.73000000000116,4.951424854431914,46.75840835601198
L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,none,10.0,25.650000000000034,35.650000000000034,7.08075392670157,2442.0,444.0,4.931994802681364,34.30180102923872
L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,none,10.099999999999966,25.650000000000034,35.75,4.848167539267016,1425.0,252.49999999999915,5.995467769519367,74.07999703680011
L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,none,10.0,25.650000000000034,35.650000000000034,4.315570680628272,1221.3,207.0,6.447538839224291,96.18357023267777
L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,none,10.0,25.650000000000034,35.650000000000034,6.610785340314136,2476.6,406.0,5.035621745350966,38.300491667475576
M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,none,10.0,25.650000000000034,35.650000000000034,6.111047120418848,2551.5,405.0,4.666450762090509,35.58024603505566
L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,none,9.899999999999977,25.650000000000034,35.55000000000001,6.5895287958115185,2864.4,429.659999999999,4.6971169267991035,33.410137479029096
L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,none,9.899999999999977,25.650000000000034,35.55000000000001,5.181162303664922,2114.8,307.8899999999993,5.153871055543016,51.15755462515901
L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,none,9.899999999999977,25.650000000000034,35.55000000000001,7.3384816753926705,3395.0,480.1499999999989,4.680919971879106,29.793813818684253
M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,none,10.0,25.650000000000034,35.650000000000034,7.336083769633507,3369.6,468.0,4.847797911762313,31.987178803692764
H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,none,9.900000000000034,25.75,35.650000000000034,5.550439790575917,2452.5,323.73000000000116,5.24935231460702,49.571863927465934
L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,none,9.800000000000011,25.75,35.55000000000001,5.61310994764398,2728.0,334.1800000000004,5.092322626847028,46.09970539297052
L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,none,9.800000000000011,25.650000000000034,35.450000000000045,4.4104712041884815,1845.0,220.50000000000026,6.066104970621824,83.19999630222239
H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,none,9.900000000000034,25.55000000000001,35.450000000000045,6.827905759162304,3654.0,430.65000000000146,4.857420593462668,34.459769322763925
M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,none,9.899999999999977,25.650000000000034,35.55000000000001,6.1959162303664925,3515.5,391.0499999999991,4.852607694031073,37.92404967280887
M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,none,9.800000000000011,25.650000000000034,35.450000000000045,6.5197277486911,3854.7999999999997,410.62000000000046,4.815294864500016,35.46539294831998
L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,none,9.800000000000011,25.650000000000034,35.450000000000045,5.171937172774869,2793.0,288.12000000000035,5.443940358250355,57.142855199222616
L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,none,9.800000000000011,25.650000000000034,35.450000000000045,6.847821989528796,4432.900000000001,447.8600000000005,4.637070626581106,31.312909599279877
L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,none,9.800000000000011,25.75,35.55000000000001,5.584544502617801,3375.9,334.1800000000004,5.066407498975033,45.86510129427855
L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,none,9.800000000000011,25.650000000000034,35.450000000000045,5.525340314136126,3333.0,323.4000000000004,5.181464662406142,48.45454398622594
M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,none,9.800000000000011,25.650000000000034,35.450000000000045,5.02269109947644,2894.3,275.38000000000034,5.531432256865092,60.74732879902744
L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,none,9.800000000000011,25.55000000000001,35.35000000000002,6.252031413612565,4314.200000000001,398.86000000000047,4.75526740760043,36.044225158618545
L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,none,9.800000000000011,25.75,35.55000000000001,6.707340314136126,4827.6,438.0600000000005,4.642047280071114,32.05816483091354
L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,none,9.800000000000011,25.75,35.55000000000001,6.721424083769634,4532.0,403.7600000000005,5.046971153071036,37.81553306272978
L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,none,9.800000000000011,25.850000000000023,35.650000000000034,6.9546596858638745,5678.400000000001,496.8600000000006,4.242227965536826,25.838263790172313
L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,none,9.800000000000011,25.75,35.55000000000001,7.025801047120418,4947.599999999999,425.3200000000005,5.008098461263044,35.62211899488205
L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,none,9.800000000000011,25.75,35.55000000000001,5.316628272251308,3410.3999999999996,288.12000000000035,5.594428229366931,58.74149460062944
L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,none,9.700000000000045,25.75,35.450000000000045,5.259895287958116,3799.6000000000004,312.3400000000015,5.055087475518187,48.44720346437256
L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,none,9.600000000000023,25.850000000000023,35.450000000000045,8.419319371727749,7260.0,580.8000000000013,4.306545676258763,21.966941785670386
L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,none,9.700000000000045,25.75,35.450000000000045,6.880052356020943,5673.0,451.0500000000021,4.5787426941712805,30.38709612070761
L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,none,9.600000000000023,25.850000000000023,35.450000000000045,6.414471204188482,4786.400000000001,370.5600000000009,5.142579374132924,41.11398857217646
L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,none,9.600000000000023,25.75,35.35000000000002,5.599340314136126,4321.799999999999,329.28000000000077,5.053484586536517,45.45189371860369
L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,none,9.599999999999966,25.650000000000034,35.25,6.339298429319372,5260.8,394.55999999999864,4.77626457595245,35.839415186388926
L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,none,9.599999999999966,25.650000000000034,35.25,5.03820942408377,3601.0,265.91999999999905,5.632295701581402,62.70757896362531
M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,none,9.699999999999989,25.55000000000001,35.25,6.518450261780105,5702.400000000001,419.0399999999995,4.672503227391365,33.35648070934072
M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,none,9.699999999999989,25.55000000000001,35.25,7.427015706806283,6696.0,481.11999999999944,4.6368352638234915,28.83064458002733
L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,none,9.599999999999966,25.650000000000034,35.25,7.597591623036649,7314.0,508.7999999999982,4.439040193128923,25.83018819188324
M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,none,9.699999999999989,25.650000000000034,35.35000000000002,5.106125654450262,3990.0,276.4499999999997,5.546191229996139,60.03508561280401
H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,none,9.800000000000011,25.55000000000001,35.35000000000002,6.795183246073299,6535.1,447.8600000000005,4.6029173270569945,31.07220938572846
L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,none,9.900000000000034,25.55000000000001,35.450000000000045,7.510376963350785,8184.4,547.4700000000018,4.202851574196852,23.453887460146703
H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,none,9.800000000000011,25.650000000000034,35.450000000000045,7.495350785340313,7410.0,484.1200000000006,4.695398558990931,29.331983211903175
L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,none,9.800000000000011,25.650000000000034,35.450000000000045,7.408837696335078,8649.0,546.8400000000006,4.108878794203244,22.72401392967717
L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,none,9.800000000000011,25.650000000000034,35.450000000000045,5.711738219895288,5667.7,353.7800000000004,4.896305881735885,41.85595451922564
L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,none,9.800000000000011,25.55000000000001,35.35000000000002,5.690973821989529,5596.8,344.96000000000043,5.004862220405633,43.86363511751036
M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,none,9.799999999999955,25.450000000000045,35.25,5.250219895287958,4540.2,276.3599999999987,5.7652399294252925,63.049643154267976
H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,none,9.799999999999955,25.450000000000045,35.25,7.4401570680628275,8282.0,494.8999999999977,4.5622567945452115,27.861385586903257
M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,none,9.799999999999955,25.450000000000045,35.25,6.175748691099477,7165.599999999999,415.51999999999805,4.510376120264669,32.80660299984427
L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,none,9.899999999999977,25.350000000000023,35.25,5.3232251308900524,5779.2,332.63999999999925,4.9059662616538064,45.02976056459046
H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,none,9.899999999999977,25.350000000000023,35.25,6.093528795811519,6281.400000000001,357.3899999999992,5.226977933764664,44.6537383752427
L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,none,10.0,25.25,35.25,6.361413612565445,7177.900000000001,401.0,4.912451345938874,37.78054768627063
M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,none,10.0,25.150000000000034,35.150000000000034,6.93109947643979,8688.0,480.0,4.472915976409614,28.729166068142376
